"ID","Birth date...2","Development Treatment","Calan Treatment","Pen #","Initial BW","Final BW","DMI","ADG","Gest Length","Calved First 21 Days","1st Calf BW","Calving Ease","Calf Vigor","Birth date...15","Sire","SEX","Final Calf BW","HCW","REA","YG","BF"
600,"26-Feb","drylot","DDG",4,"1007","1147","22.3","1.44","270","1","58","1","1","2/19/2018","1616","HFR","1183","745","12.528","3.77","0.811"
600,"16-Mar","range","CON",4,"962","1078","23.09","1.2","282","1","61","1","1","3/3/2018","1616","STR","1173","739","12.375","4.27","0.974"
600,"2-Mar","range","CON",4,"944","1111","24.02","1.72","277","1","77","1","1","2/26/2018","1104","STR","1259","793","12.011","3.83","0.702"
600,".","range","CON",4,"981","1174","24.49","1.99","277","1","68","1","1","2/26/2018","1616","STR","1379","869","14.253","3","0.567"
600,"5-Apr","drylot","CON",4,"1067","1213","24.07","1.5","279","1","68","1","1","2/28/2018","2213","STR","1256","791","14.234","3.91","1.057"
600,"15-Mar","drylot","MET",4,"1064","1227","24.18","1.68","275","1","62","1","3","2/24/2018","1616","HFR","1137","716","13.999","2.47","0.516"
600,".","range","MET",4,"922","1144","22.85","2.29","280","1","64","1","1","2/28/2018","1616","HFR","1225","772","14.483","2.66","0.583"
600,"28-Feb","stalks","MET",4,"957","1155","21.77","2.05","275","1","64","1","3","2/24/2018","2213","HFR","1137","716","11.456","3.47","0.598"
600,"10-Mar","stalks","DDG",4,"991","1166","23.78","1.8","274","1","69","1","1","2/23/2018","2213","STR","1152","726","12.458","3.46","0.686"
600,"7-Mar","stalks","DDG",4,"961","1187","24.95","2.34","277","1","69","1","1","2/26/2018","1104","HFR","1283","808","13.319","3.48","0.692"
600,"12-Mar","range","DDG",4,"957","1143","22.52","1.92","276","1","71","1","3","2/25/2018","1104","STR","1348","849","12.296","3.66","0.586"
600,"15-Mar","drylot","MET",4,"938","1129","21.92","1.97","280","1","67","1","1","3/1/2018","1616","HFR","1089","686","12.719","2.41","0.4"
600,"16-Mar","DLHI","DDG",4,"1047","1242","22.14","2.08","277","1","83","1","1","2/25/2019","1104","STR","1144","721","10.57","3.66","0.664"
600,"22-Mar","RANGE","DDG",4,"1026","1228","22.26","2.15","279","1","53","1","1","2/26/2019","2213","STR","1298","818","12.94","4.25","0.9"
600,".",".",".",4,".",".",".",".",".",".",".",".",".",".",".",".","1011","637","11.1","3.03","0.412"
600,"3-Mar","DLHI","CON",4,"1078","1190","22.29","1.19","280","1","68","1","1","2/27/2019","1104","STR","1373","865","13.62","3.85","0.74"
600,"17-Apr","DLLO","CON",4,"1116","1240","22.6","1.32","273","1","73","1","1","2/21/2019","2213","HFR","1240","781","12.03","3.93","0.772"
600,"14-Mar","RANGE","DDG",4,"979","1178","21.59","2.12","279","1","71","1","1","2/27/2019","1616","STR","1478","931","12.85","3.86","0.744"
600,"22-Feb","DLLO","MET",4,"963","1146","20.81","1.95","273","1","73","1","1","2/21/2019","1104","HFR","1294","815","13.25","3.67","0.668"
600,".",".",".",4,".",".",".",".",".",".",".",".","1",".",".",".",".",".",".",".","."
600,"13-Mar","DLHI","DDG",4,"1023","1261","22.95","2.54","272","1","71","1","1","2/20/2019","2213","HFR",".",".",".",".","."
600,"14-Mar","DLHI","CON",4,"1003","1167","21.95","1.74","277","1","65","1","1","2/25/2019","1104","HFR","1346","848","12.91","3.93","0.772"
600,"2-Mar","RANGE","CON",4,"1008","1148","24.3","1.49","278","1","75","2","1","2/27/2019","1616","STR","1270","800","11.96","3.7","0.68"
600,"20-Mar","DLHI","CON",4,"1009","1095","22.61","0.91","277","1","70","1","1","2/25/2019","1616","HFR","1292","814","12.61","3.88","0.752"
600,".",".",".",4,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
600,"21-Mar","DLLO","MET",4,"1045","1365","25.83","3.4","280","1","87","1","2","2/28/2019","2213","STR",".",".",".",".","."
600,"28-Feb","DLLO","DDG",4,"1010","1213","21.81","2.16","274","1","68","1","1","2/21/2019","1104","HFR","1502","946","13.41","4.25","0.9"
600,"20-Feb","DLLO","DDG",4,"1016","1212","24.21","2.09","276","1","67","1","1","2/24/2019","1616","STR","1283","808","12.29","4.17","0.868"
600,".",".",".",4,".",".",".",".",".",".",".","1","1",".",".",NA,".",".",".",".","."
600,"22-Mar","RANGE","CON",4,"928","1092","20.25","1.74","274","1","76",".",".","2/22/2019","2213","STR",".",".",".",".","."
600,".","DLHI","DDG",4,"1011","1229","21.67","2.32","281","1","78","1","1","3/1/2019","1104","STR","1365","860","12.65","3.7","0.68"
600,"28-Feb","RANGE","CON",4,"893","1045","20.79","1.62","277","1",".","2","1","2/25/2019","1616","STR",".",".",".",".","."
600,"8-Mar","RANGE","MET",4,"931","1139","21.82","2.22","275","1","74","1","1","2/23/2019","1104","STR","1379","869","14.38","3.49","0.596"
600,"9-Mar","DLHI","MET",4,"1001","1197","21.43","2.09","275","1","53","1","1","2/25/2019","1104","STR","1397","880","14.36","3.49","0.596"
600,".","DLLO","CON",4,"1043","1223","24.66","1.91","277","1","63","1","1","2/25/2019","2213","HFR","1173","739","14.01","3.39","0.556"
600,"7-Mar","DLLO","DDG",4,"978","1201","21.66","2.38","268","1","80","1","4","2/16/2019","1104","STR",".",".",".",".","."
600,"19-Mar","DLLO","MET",4,"936","1117","19.18","1.93","279","1","73","1","1","2/27/2019","2213","STR","1240","781","14.23","3.29","0.516"
600,"23-Feb","RANGE","MET",4,"932","1126","20.14","2.06","273","1","71","1","1","2/21/2019","1104","HFR","1171","738","11.55","3.94","0.776"
600,"17-Apr","RANGE","CON",4,"930","1108","23.35","1.89","273","1","68","1","1","2/22/2019","1104","HFR","1413","890","14.34","3.7","0.68"
600,"18-Feb","DLLO","DDG",4,"1085","1260","22.16","1.87","279","1","73","1","1","2/27/2019","1104","STR","1519","957","16.88","3.83","0.732"
600,"26-Mar","RANGE","DDG",4,"960","1141","21.51","1.93","291","1","57","1","2","3/9/2019","1616","HFR","1230","775","12.56","4.32","0.928"
600,"22-Feb","RANGE","MET",4,"921","1145","21.76","2.39","270","1","88","3","5","2/17/2019","2213","STR",".",".",".",".","."
600,"24-Feb","DLHI","DDG",4,"1031","1219","22.69","2","274","1","64","1","1","2/22/2019","2213","HFR","1262","795","13.53","3.14","0.456"
600,"28-Mar","DLHI","MET",4,"1012","1220","22.02","2.21","270","1","72","3","1","2/18/2019","2213","STR","1389","875","12.46","3.93","0.772"
600,"1-Mar","DLLO","CON",4,"1109","1238","22.84","1.38","275","1","83","1","1","2/23/2019","2213","STR","1400","882","15.92","3.13","0.452"
600,"21-Mar","DLHI","CON",4,"1098","1277","25.49","1.9","279","1","78","1","1","2/27/2019","1104","STR","1373","865","14.88","3.72","0.688"
600,"31-Mar","DLLO","MET",4,"1111","1331","23.37","2.35","275","1","72","1","1","2/25/2019","1104","STR","1411","889","13.12","4.03","0.812"
600,"30-Mar","DLHI","MET",4,"1209","1468","26.94","2.76","273","1","64","1","1","2/22/2019","2213","HFR","1195","753","11.45","4.13","0.852"
600,"17-Apr","DLHI","CON",4,"1042","1167","22.39","1.34","275","1","77","2","3","2/23/2019","1104","HFR","1408","887","12.23","4.04","0.816"
600,"22-Feb","RANGE","DDG",4,"984","1189","23.06","2.18","274","1","68","1","1","2/24/2019","1104","HFR","1302","820","12.34","3.92","0.768"
600,"17-Mar","RANGE","MET",4,"975","1193","22.88","2.32","279","1","75","1","1","2/26/2019","1104","STR","1370","863","13.47","3.51","0.604"
600,"14-Jan","RANGE","MET",4,"1061","1259","22.5","2.11","277","1","69","1","1","2/25/2019","2213","HFR","1227","773","12.74","3.88","0.752"
600,"5-Mar","DLHI","MET",4,"1077","1297","23.69","2.34","278","1","65","2","1","2/26/2019","1104","HFR","1316","829","12.85","3.83","0.732"
600,"7-Mar","DLLO","MET",4,"1027","1218","21.26","2.03","272","1","63","1","1","2/21/2019","1616","HFR","1135","715","11.6","3.38","0.552"
600,"7-Mar","DLLO","CON",4,"955","1071","22.24","1.24","273","1","62","1","1","2/21/2019","2213","HFR","1110","699","12.13","3.7","0.68"
600,"13-Mar","DLLO","DDG",4,"1033","1249","24.66","2.3","272","1","61","1","1","2/19/2019","1104","HFR","1268","799","10.79","4.06","0.824"
600,"29-Mar","DLLO","MET",4,"1040","1128",NA,"0.94","282","1","83","1","2","2/29/2020","4708","STR","1340","844","14.45","2.99","0.614"
600,"7-Mar","DLLO","MET",4,"1046","1144",NA,"1.04","272","1","69","1","1","2/29/2020","4705","HFR","1360","857","13.76","3.29","0.621"
600,"10-Mar","DLLO","CON",4,"1017","1171",NA,"1.64","271","1","68","1","1","2/18/2020","261","HFR","1352","852","14.54","3.14","0.653"
600,".","RANGE","MET",4,"1013","1114",NA,"1.07","307","0","77","1","1","3/25/2020","4708","HFR","1187","748","12.84","5.61","1.596"
600,"18-Mar","DLLO","DDG",4,"1115","1180",NA,"0.7","279","1","71","1","1","2/27/2020","4708","HFR","1265","797","13.16","3.75","0.793"
600,"5-May","DLHI","MET",4,"1074","1224",NA,"1.59","276","1","75","1","1","2/23/2020","4708","STR","1271","801","12.98","3.57","0.712"
600,"14-Mar","DLLO","CON",4,"1048","1102",NA,"0.58","278","1","80","1","1","2/24/2020","4705","STR","1359","856","12.89","3.54","0.611"
600,"24-Apr","DLHI","DDG",4,"1036","1118",NA,"0.87","279","1","77","1","1","2/27/2020","4708","STR","1305","822","12.06","4.37","0.875"
600,"9-Mar","DLLO","DDG",4,"947","1152",NA,"2.18","274","1",".","1","1","2/20/2020","4705","STR","1294","815","13.72","3.41","0.723"
600,"26-Feb","DLLO","DDG",4,"996","1187",NA,"2.03","267","1","68","1","1","2/14/2020","4708","STR","1456","917","13.72","4.25","0.89"
600,"13-Apr","DLHI","MET",4,"1115","1116",NA,"0.01","279","1","86","1","1","2/25/2020","4708","STR","1619","1020","15.67","3.86","0.857"
600,"8-Mar","DLHI","MET",4,"1133","1078",NA,"-0.58",".",".",".",".",".",".","4708","STR","1219","768","13.05","3.14","0.588"
600,"6-Mar","DLHI","DDG",4,"1078","1123",NA,"0.47","268","1","65","1","1","2/15/2020","4705","HFR","1276","804","13.66","2.86","0.512"
600,"12-Mar","DLLO","CON",4,"974","1108",NA,"1.43","276","1","67","1","1","2/23/2020","4708","STR","1373","865","13.56","3.43","0.646"
600,".",".","DDG",4,"1090","1207",NA,"1.24","280","1","92","1","1","2/27/2020","4705","STR",".",".",".",".","."
600,"2-Mar","RANGE","CON",4,"1088","1099",NA,"0.11","280","1","67","1","1","2/27/2020","4708","STR","1483","934","14.52","3.29","0.609"
600,"9-Mar",".","MET",4,"1053","1040",NA,"-0.14","278","1","68","1","1","2/24/2020","261","STR","1390","876","13.03","4.29","0.87"
600,"26-Feb","DLHI","DDG",4,"1018","1117",NA,"1.05","277","1","98","3","1","2/25/2020","4708","STR","1662","1047","15.62","3.48","0.66"
600,"12-Mar","DLHI","DDG",4,"1026","1113",NA,"0.93","273","1","61","1","2","2/29/2020","4705","HFR","1329","837","14.62","3.43","0.804"
600,"25-Feb","DLHI","CON",4,"1020","1104",NA,"0.89","278","1","62","1","1","2/26/2020","261","HFR","1273","802","15.89","1.94","0.445"
600,"4-Mar","DLLO","DDG",4,"1093","1135",NA,"0.44","276","1","73","1","1","2/22/2020","4705","STR","1363","859","13.08","3.56","0.642"
600,"9-Mar","DLLO","DDG",4,"1060","1123",NA,"0.67","280","1","67","1","1","2/27/2020","4708","HFR","971","612","12.19","2.14","0.334"
600,"18-Mar","RANGE","MET",4,"1065","1098",NA,"0.35","299","0","56","1","3","3/16/2020","4708","HFR",".",".",".",".","."
600,"23-Feb","DLLO","CON",4,"1072","1106",NA,"0.37","271","1","56","1","2","2/18/2020","4708","HFR","1208","761","11.94","4.07","0.8"
600,"10-Apr","DLLO","MET",4,"1082","1186",NA,"1.11","283","1","62","1","1","3/1/2020","261","HFR","1365","860","13.42","3.55","0.681"
600,"24-Feb","DLHI","CON",4,"1145","1073",NA,"-0.77","292","0","61","1","1","3/9/2020","261","HFR","1246","785","14.38","2.95","0.652"
600,"2-Mar","DLHI","CON",4,"1061","1181",NA,"1.27","276","1","84","1","1","2/24/2020","4708","HFR","1533","966","16.54","3.28","0.798"
600,"23-Feb","DLHI","MET",4,"1093","1190",NA,"1.03","276","1","67","1","1","2/22/2020","4705","HFR","1365","860","13.91","3.62","0.755"
600,"12-Mar","DLLO","CON",4,"1092","1037",NA,"-0.59","275","1","75","1","5","2/22/2020","4705","HFR",".",".",".",".","."
600,"19-Mar","RANGE","DDG",4,"1006","1033",NA,"0.29","276","1","66","1","1","2/22/2020","261","HFR","1189","749","14.71","2.3","0.502"
600,"9-Apr","DLLO","DDG",4,"1100","1129",NA,"0.31","275","1","69","1","1","2/22/2020","4705","HFR","1373","865","12.48","4.64","0.966"
600,"17-Feb","DLHI","CON",4,"1095","1142",NA,"0.5","275","1","70","1","1","2/22/2020","261","STR","1690","1065","15.05","4.65","1.01"
600,"10-Mar","RANGE","CON",4,"1095","1160",NA,"0.7","277","1","75","1","1","2/24/2020","4708","STR","1452","915","13.38","3.94","0.736"
600,"4-Mar","DLLO","MET",4,"1079","1142",NA,"0.67","271","1","75","1","2","2/18/2020","4705","STR",".",".",".",".","."
600,".",".","MET",4,"996","1065",NA,"0.73",".",".",".",".",".",".",".",".",".",".",".",".","."
600,"11-Apr","DLLO","CON",4,"923","1176",NA,"2.69","274","1","66","1","1","2/21/2020","4708","HFR","1086","684","11.77","3.83","0.795"
